fileName,SPCBRRA,SPCBRDEC,TARGET,TRGFOVN,TRGFOV00
20150127_028463_lor_0284635147_0x633_sci.fit,270.692924,-14.633002,PLUTO,6.000000,PLUTO;X=127;Y=127
20150127_028463_lor_0284635157_0x633_sci.fit,270.692914,-14.633723,PLUTO,6.000000,PLUTO;X=127;Y=127
20150127_028463_lor_0284635167_0x633_sci.fit,270.692317,-14.633641,PLUTO,6.000000,PLUTO;X=127;Y=127
20150127_028463_lor_0284635177_0x633_sci.fit,270.691692,-14.633542,PLUTO,6.000000,PLUTO;X=127;Y=127
20150127_028463_lor_0284635187_0x633_sci.fit,270.691901,-14.633396,PLUTO,6.000000,PLUTO;X=127;Y=127
20150130_028488_lor_0284888347_0x633_sci.fit,270.689157,-14.645250,PLUTO,6.000000,PLUTO;X=126;Y=127
20150130_028488_lor_0284888357_0x633_sci.fit,270.689446,-14.645319,PLUTO,6.000000,PLUTO;X=126;Y=127
20150130_028488_lor_0284888367_0x633_sci.fit,270.688763,-14.645319,PLUTO,6.000000,PLUTO;X=126;Y=127
20150130_028488_lor_0284888377_0x633_sci.fit,270.689278,-14.645545,PLUTO,6.000000,PLUTO;X=126;Y=127
20150130_028488_lor_0284888387_0x633_sci.fit,270.688434,-14.645521,PLUTO,6.000000,PLUTO;X=126;Y=127
20150131_028497_lor_0284974507_0x633_sci.fit,270.694127,-14.630613,PLUTO,6.000000,PLUTO;X=127;Y=127
20150131_028497_lor_0284974517_0x633_sci.fit,270.694087,-14.630383,PLUTO,6.000000,PLUTO;X=127;Y=127
20150131_028497_lor_0284974527_0x633_sci.fit,270.693142,-14.629621,PLUTO,6.000000,PLUTO;X=127;Y=127
20150131_028497_lor_0284974537_0x633_sci.fit,270.694078,-14.630116,PLUTO,6.000000,PLUTO;X=127;Y=127
20150131_028497_lor_0284974547_0x633_sci.fit,270.693838,-14.630974,PLUTO,6.000000,PLUTO;X=127;Y=127
20150202_028514_lor_0285146227_0x633_sci.fit,270.678877,-14.618250,PLUTO,6.000000,PLUTO;X=127;Y=127
20150202_028514_lor_0285146237_0x633_sci.fit,270.679095,-14.618929,PLUTO,6.000000,PLUTO;X=127;Y=127
20150202_028514_lor_0285146247_0x633_sci.fit,270.679604,-14.619040,PLUTO,6.000000,PLUTO;X=127;Y=127
20150202_028514_lor_0285146257_0x633_sci.fit,270.680085,-14.619387,PLUTO,6.000000,PLUTO;X=127;Y=127
20150202_028514_lor_0285146267_0x633_sci.fit,270.679679,-14.619343,PLUTO,6.000000,PLUTO;X=127;Y=127
20150204_028531_lor_0285316627_0x633_sci.fit,270.692957,-14.622074,PLUTO,6.000000,PLUTO;X=127;Y=127
20150204_028531_lor_0285316637_0x633_sci.fit,270.694410,-14.622389,PLUTO,6.000000,PLUTO;X=127;Y=127
20150204_028531_lor_0285316647_0x633_sci.fit,270.692715,-14.622044,PLUTO,6.000000,PLUTO;X=127;Y=127
20150204_028531_lor_0285316657_0x633_sci.fit,270.692645,-14.621909,PLUTO,6.000000,PLUTO;X=127;Y=127
20150204_028531_lor_0285316667_0x633_sci.fit,270.692798,-14.622464,PLUTO,6.000000,PLUTO;X=127;Y=127
20150206_028549_lor_0285490867_0x633_sci.fit,270.693017,-14.635890,PLUTO,6.000000,PLUTO;X=126;Y=127
20150206_028549_lor_0285490877_0x633_sci.fit,270.693509,-14.635598,PLUTO,6.000000,PLUTO;X=126;Y=127
20150206_028549_lor_0285490887_0x633_sci.fit,270.692937,-14.635646,PLUTO,6.000000,PLUTO;X=126;Y=127
20150206_028549_lor_0285490897_0x633_sci.fit,270.693075,-14.635521,PLUTO,6.000000,PLUTO;X=126;Y=127
20150206_028549_lor_0285490907_0x633_sci.fit,270.693675,-14.634755,PLUTO,6.000000,PLUTO;X=126;Y=127
20150208_028571_lor_0285717187_0x633_sci.fit,270.684130,-14.629168,PLUTO,6.000000,PLUTO;X=127;Y=127
20150208_028571_lor_0285717197_0x633_sci.fit,270.682427,-14.628577,PLUTO,6.000000,PLUTO;X=127;Y=127
20150208_028571_lor_0285717207_0x633_sci.fit,270.682255,-14.629335,PLUTO,6.000000,PLUTO;X=127;Y=127
20150208_028571_lor_0285717217_0x633_sci.fit,270.683203,-14.629193,PLUTO,6.000000,PLUTO;X=127;Y=127
20150208_028571_lor_0285717227_0x633_sci.fit,270.683595,-14.629385,PLUTO,6.000000,PLUTO;X=127;Y=127
20150210_028589_lor_0285897127_0x633_sci.fit,270.685510,-14.654937,PLUTO,6.000000,PLUTO;X=127;Y=127
20150210_028589_lor_0285897137_0x633_sci.fit,270.684986,-14.654689,PLUTO,6.000000,PLUTO;X=127;Y=127
20150210_028589_lor_0285897147_0x633_sci.fit,270.685017,-14.653795,PLUTO,6.000000,PLUTO;X=127;Y=127
20150210_028589_lor_0285897157_0x633_sci.fit,270.685363,-14.654203,PLUTO,6.000000,PLUTO;X=127;Y=127
20150210_028589_lor_0285897167_0x633_sci.fit,270.685404,-14.653982,PLUTO,6.000000,PLUTO;X=127;Y=127
20150212_028600_lor_0286007827_0x633_sci.fit,270.696443,-14.637761,PLUTO,6.000000,PLUTO;X=127;Y=127
20150212_028600_lor_0286007837_0x633_sci.fit,270.696838,-14.637449,PLUTO,6.000000,PLUTO;X=127;Y=127
20150212_028600_lor_0286007847_0x633_sci.fit,270.696558,-14.637642,PLUTO,6.000000,PLUTO;X=127;Y=127
20150212_028600_lor_0286007857_0x633_sci.fit,270.696403,-14.636978,PLUTO,6.000000,PLUTO;X=127;Y=127
20150212_028600_lor_0286007867_0x633_sci.fit,270.696165,-14.637052,PLUTO,6.000000,PLUTO;X=127;Y=127
20150215_028627_lor_0286270147_0x633_sci.fit,270.697438,-14.630035,PLUTO,6.000000,PLUTO;X=128;Y=127
20150215_028627_lor_0286270157_0x633_sci.fit,270.697561,-14.630032,PLUTO,6.000000,PLUTO;X=128;Y=127
20150215_028627_lor_0286270167_0x633_sci.fit,270.697965,-14.629203,PLUTO,6.000000,PLUTO;X=128;Y=127
20150215_028627_lor_0286270177_0x633_sci.fit,270.697518,-14.629184,PLUTO,6.000000,PLUTO;X=128;Y=127
20150215_028627_lor_0286270187_0x633_sci.fit,270.697092,-14.629116,PLUTO,6.000000,PLUTO;X=128;Y=127
20150216_028642_lor_0286422727_0x633_sci.fit,270.686652,-14.635882,PLUTO,6.000000,PLUTO;X=127;Y=127
20150216_028642_lor_0286422737_0x633_sci.fit,270.686120,-14.635685,PLUTO,6.000000,PLUTO;X=127;Y=127
20150216_028642_lor_0286422747_0x633_sci.fit,270.685513,-14.635837,PLUTO,6.000000,PLUTO;X=127;Y=127
20150216_028642_lor_0286422757_0x633_sci.fit,270.686204,-14.635442,PLUTO,6.000000,PLUTO;X=127;Y=127
20150216_028642_lor_0286422767_0x633_sci.fit,270.686778,-14.635935,PLUTO,6.000000,PLUTO;X=127;Y=127
