1,1227-0251626,13.964,58.076,0.498,18.374,0.009
2,1140-0198282,15.564,16.155,0.984,18.584,0.065
3,0632-0301896,14.788,34.661,0.593,18.638,0.019
3,0632-0301908,14.462,42.005,1.318,18.520,0.034
4,1225-0248610,15.312,18.370,3.643,18.459,0.206
5,1140-0198276,17.176,4.572,0.895,18.813,0.205
5,1139-0198763,15.685,14.112,0.598,18.558,0.046
6,0829-0822446,15.806,10.801,1.034,18.386,0.103
6,0829-0822447,14.924,26.210,1.295,18.469,0.054
7,0887-0001002,14.465,38.582,0.789,18.431,0.022
7,0886-0001001,13.176,136.484,1.232,18.513,0.010
8,0753-0466916,13.867,92.315,0.551,18.780,0.006
9,0561-0368588,12.573,298.160,1.643,18.760,0.006
9,0561-0369357,13.764,89.641,0.589,18.646,0.007
10,0552-0598381,13.574,191.073,4.271,19.276,0.024
11,0745-0523276 ,12.992,226.807,0.245,18.881,0.001
12,0719-0385297,14.116,67.387,1.445,18.687,0.023
13,0745-0524211,11.397,640.500,3.082,18.413,0.005
14,0562-0377046,15.770,12.594,0.476,18.520,0.041
14,0562-0377126,13.061,163.430,2.124,18.594,0.014
