JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000, -1.726739924883898E-01,  9.695782948553662E-01, -1.277621730981260E-04, -1.721457450045195E-02, -3.149384504903035E-03, -1.243410867585569E-07,  5.687927953153338E-03,  9.848341961262783E-01, -8.231389056016008E-05,
2453737.500000000, A.D. 2006-Jan-02 00:00:00.0000, -1.898597791954925E-01,  9.662777235866790E-01, -1.279615927621113E-04, -1.715603660708561E-02, -3.451549674511514E-03, -2.720499654442206E-07,  5.687461701958454E-03,  9.847534672344060E-01, -7.912051901592829E-05,
2453738.500000000, A.D. 2006-Jan-03 00:00:00.0000, -2.069841573157867E-01,  9.626756480249747E-01, -1.282994800230713E-04, -1.709177488658116E-02, -3.752358344660492E-03, -3.994548331717626E-07,  5.687014394586524E-03,  9.846760183638007E-01, -7.573793460706737E-05,
2453739.500000000, A.D. 2006-Jan-04 00:00:00.0000, -2.240414615236807E-01,  9.587735229800406E-01, -1.287505099209504E-04, -1.702191157094180E-02, -4.051620178198293E-03, -4.969965051455123E-07,  5.686587378299798E-03,  9.846020827856901E-01, -7.208205527881217E-05,
2453740.500000000, A.D. 2006-Jan-05 00:00:00.0000, -2.410261613338221E-01,  9.545729735064169E-01, -1.292813976708585E-04, -1.694659100548140E-02, -4.349185916492271E-03, -5.584354411794217E-07,  5.686182408232579E-03,  9.845319643921572E-01, -6.809680652560434E-05,
2453741.500000000, A.D. 2006-Jan-06 00:00:00.0000, -2.579328740894901E-01,  9.500757527728148E-01, -1.298544352157559E-04, -1.686596176530985E-02, -4.644947953801086E-03, -5.811459392213835E-07,  5.685801474406937E-03,  9.844660077448432E-01, -6.375675282856715E-05,
2453742.500000000, A.D. 2006-Jan-07 00:00:00.0000, -2.747563618929456E-01,  9.452837033272297E-01, -1.304309475494363E-04, -1.678016302424648E-02, -4.938833647329850E-03, -5.657125988656151E-07,  5.685446632990932E-03,  9.844045688582116E-01, -5.906346212269950E-05,
2453743.500000000, A.D. 2006-Jan-08 00:00:00.0000, -2.914915179248700E-01,  9.401987268698385E-01, -1.309741436916901E-04, -1.668931698239718E-02, -5.230795697731854E-03, -5.151848905830761E-07,  5.685119868875633E-03,  9.843479914054969E-01, -5.403886449100260E-05,
2453744.500000000, A.D. 2006-Jan-09 00:00:00.0000, -3.081333478708650E-01,  9.348227636014137E-01, -1.314511884813156E-04, -1.659352634033710E-02, -5.520803036135680E-03, -4.343052246366264E-07,  5.684822997975483E-03,  9.842965898025386E-01, -4.871851707589352E-05,
2453745.500000000, A.D. 2006-Jan-10 00:00:00.0000, -3.246769504779347E-01,  9.291577797129733E-01, -1.318345641108616E-04, -1.649287473305588E-02, -5.808833762444510E-03, -3.288746389565555E-07,  5.684557604697266E-03,  9.842506383808678E-01, -4.314629168475518E-05,
2453746.500000000, A.D. 2006-Jan-11 00:00:00.0000, -3.411174992464025E-01,  9.232057608553346E-01, -1.321028817847576E-04, -1.638742833216128E-02, -6.094870171617674E-03, -2.052840027761692E-07,  5.684325005183746E-03,  9.842103650235391E-01, -3.737072534974550E-05,
2453747.500000000, A.D. 2006-Jan-12 00:00:00.0000, -3.574502258660363E-01,  9.169687097984891E-01, -1.322412907617120E-04, -1.627723763743378E-02, -6.378895223510734E-03, -7.016806374185311E-08,  5.684126227822286E-03,  9.841759477903048E-01, -3.144259302098919E-05,
2453748.500000000, A.D. 2006-Jan-13 00:00:00.0000, -3.736704054094671E-01,  9.104486471873763E-01, -1.322415796481914E-04, -1.616233920095702E-02, -6.660889789015568E-03,  6.987196613828772E-08,  5.683962005655399E-03,  9.841475136035424E-01, -2.541312636649477E-05,
2453749.500000000, A.D. 2006-Jan-14 00:00:00.0000, -3.897733432656252E-01,  9.036476148320035E-01, -1.321020194527940E-04, -1.604275741955855E-02, -6.940830304320535E-03,  2.085105364629234E-07,  5.683832778231831E-03,  9.841251385687571E-01, -1.933248286343395E-05,
2453750.500000000, A.D. 2006-Jan-15 00:00:00.0000, -4.057543639862070E-01,  8.965676811623877E-01, -1.318269793000039E-04, -1.591850659265615E-02, -7.218686805429033E-03,  3.399089089477361E-07,  5.683738701921643E-03,  9.841088497605867E-01, -1.324834837114731E-05,
2453751.500000000, A.D. 2006-Jan-16 00:00:00.0000, -4.216088023491375E-01,  8.892109483867896E-01, -1.314263526634201E-04, -1.578959328634780E-02, -7.494421524682945E-03,  4.588794651196047E-07,  5.683679667689100E-03,  9.840986283000774E-01, -7.204782774380090E-06,
2453752.500000000, A.D. 2006-Jan-17 00:00:00.0000, -4.373319968714398E-01,  8.815795606854220E-01, -1.309148512733473E-04, -1.565601882075258E-02, -7.767988248281355E-03,  5.609832666335028E-07,  5.683655324337506E-03,  9.840944133794078E-01, -1.241513839785249E-06,
2453753.500000000, A.D. 2006-Jan-18 00:00:00.0000, -4.529192857309572E-01,  8.736757126341584E-01, -1.303112393260589E-04, -1.551778153598034E-02, -8.039332490830286E-03,  6.425518481758259E-07,  5.683665104120400E-03,  9.840961066963247E-01,  4.606158497716603E-06,
2453754.500000000, A.D. 2006-Jan-19 00:00:00.0000, -4.683660046843240E-01,  8.655016571026245E-01, -1.296375805116270E-04, -1.537487846065284E-02, -8.308392327198317E-03,  7.006431140412276E-07,  5.683708247039124E-03,  9.841035766611397E-01,  1.030682083170635E-05,
2453755.500000000, A.D. 2006-Jan-20 00:00:00.0000, -4.836674862315671E-01,  8.570597121347698E-01, -1.289185507594991E-04, -1.522730610326865E-02, -8.575099522344665E-03,  7.329601664615809E-07,  5.683783820468302E-03,  9.841166617947743E-01,  1.583190592287074E-05,
