JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000,  4.121959182589345E-01,  1.477877518183060E+00,  2.077152192046897E-02, -1.295967269213041E-02,  4.928351566447766E-03,  4.214336297185895E-04,  8.862097474798644E-03,  1.534424611997324E+00,  1.271049485726453E-03,
2453738.500000000, A.D. 2006-Jan-03 00:00:00.0000,  3.862107905459968E-01,  1.487490849648493E+00,  2.161090578842246E-02, -1.302468829020301E-02,  4.684922091774608E-03,  4.179302032329178E-04,  8.876757174080322E-03,  1.536962860244565E+00,  1.267132396156026E-03,
2453740.500000000, A.D. 2006-Jan-05 00:00:00.0000,  3.601002237067599E-01,  1.496617003234697E+00,  2.244316331456310E-02, -1.308511607277826E-02,  4.441187558230852E-03,  4.143076729648798E-04,  8.891369337352370E-03,  1.539492877886880E+00,  1.262819719310184E-03,
2453742.500000000, A.D. 2006-Jan-07 00:00:00.0000,  3.338733672702433E-01,  1.505255451701712E+00,  2.326805869609001E-02, -1.314098233592647E-02,  4.197230640454684E-03,  4.105684436942150E-04,  8.905929425077064E-03,  1.542013878927677E+00,  1.258116699867234E-03,
2453744.500000000, A.D. 2006-Jan-09 00:00:00.0000,  3.075393170784755E-01,  1.513405831536733E+00,  2.408536088269940E-02, -1.319231451529912E-02,  3.953132335660544E-03,  4.067148852081972E-04,  8.920432958408943E-03,  1.544525087878904E+00,  1.253028534712855E-03,
2453746.500000000, A.D. 2006-Jan-11 00:00:00.0000,  2.811071129916926E-01,  1.521067939806999E+00,  2.489484355958940E-02, -1.323914110407081E-02,  3.708972164510984E-03,  4.027493372660518E-04,  8.934875519635102E-03,  1.547025739837282E+00,  1.247560558861290E-03,
2453748.500000000, A.D. 2006-Jan-13 00:00:00.0000,  2.545857366943592E-01,  1.528241731030255E+00,  2.569628513995222E-02, -1.328149171684027E-02,  3.464828132905643E-03,  3.986741654197261E-04,  8.949252752570776E-03,  1.549515080552801E+00,  1.241718173383877E-03,
2453750.500000000, A.D. 2006-Jan-15 00:00:00.0000,  2.279841096280553E-01,  1.534927314060617E+00,  2.648946875153143E-02, -1.331939704177237E-02,  3.220776605789230E-03,  3.944917552635766E-04,  8.963560362920248E-03,  1.551992366491207E+00,  1.235506712395265E-03,
2453752.500000000, A.D. 2006-Jan-17 00:00:00.0000,  2.013110910440048E-01,  1.541124948969427E+00,  2.727418221788539E-02, -1.335288860524932E-02,  2.976892368814211E-03,  3.902044277637069E-04,  8.977794118461602E-03,  1.554456864865990E+00,  1.228931516921970E-03,
2453754.500000000, A.D. 2006-Jan-19 00:00:00.0000,  1.745754761725843E-01,  1.546835043976015E+00,  2.805021803819032E-02, -1.338199881179227E-02,  2.733248755121670E-03,  3.858144953431211E-04,  8.991949849351409E-03,  1.556907853691140E+00,  1.221998026294573E-03,
