rad, aq_meas, aq_errdn, aq_errup, lb_meas, lb_errdn, lb_errup
2.41, 11.87, 8.95, 14.52, 17.69, 15.51, 20.00
2.47, 9.96, 6.80, 13.76, 15.00, 12.69, 17.18 
2.64, 12.23, 8.81, 14.38, 11.28, 7.82, 13.21 
2.82, 9.18, 5.76, 12.34, NaN, NaN, Nan
2.94, 9.17, 6.89, 11.44, 9.23, 6.79, 11.54
3.06, 4.22, 1.56, 7.26, 4.62, 2.56, 7.05
3.16, 4.21, 1.93, 6.49, 2.95, 0.77, 5.13
3.27, 0.03, -2.25, 2.81, 0.51, -1.67, 2.82
3.93, 0.93, -0.25, 2.11, NaN, NaN, NaN
4.22, 0.43, -0.75, 1.61, NaN, NaN, NaN
4.82, -0.37, -1.55, 0.81, NaN, NaN, NaN
