AU    Flux    Err_Low    Err_High
1.8414561    6.4222913e-06    3.61152e-06    1.14206e-05
2.1751763    6.1441244e-06    3.45510e-06    1.09260e-05
2.4297860    6.1441244e-06    3.45510e-06    1.09260e-05
2.5521310    6.1441244e-06    3.45510e-06    1.09260e-05
2.7006488    5.8780057e-06    3.30545e-06    1.04527e-05
2.9277782    5.1468321e-06    2.89428e-06    9.15251e-06
3.0638105    4.7106409e-06    2.64899e-06    8.37684e-06
3.2711531    4.7106409e-06    2.64899e-06    8.37684e-06
3.3705164    3.6115198e-06    2.03091e-06    6.42229e-06
3.4911082    4.9239088e-06    2.76892e-06    8.75609e-06
3.6302093    3.4550951e-06    1.94294e-06    6.14412e-06
3.7198191    3.7750265e-06    2.12285e-06    6.71305e-06
3.9124577    4.3114167e-06    2.42449e-06    7.66690e-06
3.9739510    3.6115198e-06    2.03091e-06    6.42229e-06
4.1892004    4.1245825e-06    2.31942e-06    7.33466e-06
4.3355739    3.3054455e-06    1.85879e-06    5.87801e-06
4.4232451    3.7750265e-06    2.12285e-06    6.71305e-06
4.5891984    3.0253108e-06    1.70126e-06    5.37985e-06
4.7741280    2.4244878e-06    1.36339e-06    4.31142e-06
4.8182012    2.4244878e-06    1.36339e-06    4.31142e-06
4.9608016    2.5342532e-06    1.42512e-06    4.50661e-06
5.0579088    2.2189627e-06    1.24781e-06    3.94594e-06
5.0853183    2.4244878e-06    1.36339e-06    4.31142e-06
5.1419897    3.0253108e-06    1.70126e-06    5.37985e-06
5.2484602    2.2189627e-06    1.24781e-06    3.94594e-06
5.2890843    2.5342532e-06    1.42512e-06    4.50661e-06
5.3817676    3.0253108e-06    1.70126e-06    5.37985e-06
5.4742210    3.9459357e-06    2.21896e-06    7.01698e-06
5.6388435    3.1622777e-06    1.77828e-06    5.62341e-06
5.8253567    6.1441244e-06    3.45510e-06    1.09260e-05
5.8796573    5.1468321e-06    2.89428e-06    9.15251e-06
6.0505250    3.1622777e-06    1.77828e-06    5.62341e-06
6.2959986    2.5342532e-06    1.42512e-06    4.50661e-06
6.5584748    3.0253108e-06    1.70126e-06    5.37985e-06
6.9786771    1.7782794e-06    1.00000e-06    3.16228e-06
7.3994079    1.4896355e-06    8.37684e-07    2.64899e-06
7.6816436    1.7012573e-06    9.56687e-07    3.02531e-06
8.1834460    1.7782794e-06    1.00000e-06    3.16228e-06
9.0045694    1.2478144e-06    7.01698e-07    2.21896e-06
9.9058731    1.3633897e-06    7.66690e-07    2.42449e-06
10.621986    1.4896355e-06    8.37684e-07    2.64899e-06
10.910635    1.3633897e-06    7.66690e-07    2.42449e-06
11.170775    1.6275712e-06    9.15251e-07    2.89428e-06
12.100762    2.6489881e-06    1.48964e-06    4.71064e-06
12.888488    3.0253108e-06    1.70126e-06    5.37985e-06
13.823473    2.4244878e-06    1.36339e-06    4.31142e-06
14.378739    2.2189627e-06    1.24781e-06    3.94594e-06
14.583356    2.0309068e-06    1.14206e-06    3.61152e-06
15.283962    1.7012573e-06    9.56687e-07    3.02531e-06
16.158307    1.6275712e-06    9.15251e-07    2.89428e-06
17.088768    1.9429427e-06    1.09260e-06    3.45510e-06
