JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -9.299613198520271E+00,  1.403445862423927E+00,  3.450257793811944E-01, -1.131904256396964E-03, -5.527747394914353E-03,  1.416821325696630E-04,  5.435481073757183E-02,  9.411243739234729E+00,  2.993506085494936E-04,
2444330.500000000, A.D. 1980-Apr-01 00:00:00.0000, -9.388981395164835E+00,  8.986371537640075E-01,  3.574064363856486E-01, -8.316951316618078E-04, -5.564943631237117E-03,  1.307148573089141E-04,  5.451314074057965E-02,  9.438657729446829E+00,  3.024395443874789E-04,
2444421.500000000, A.D. 1980-Jul-01 00:00:00.0000, -9.450926728526074E+00,  3.912400300920417E-01,  3.687419710802804E-01, -5.307963225303223E-04, -5.584075101256421E-03,  1.185496339693924E-04,  5.467224609787685E-02,  9.466205968092558E+00,  3.037666491460807E-04,
2444513.500000000, A.D. 1980-Oct-01 00:00:00.0000, -9.485734942019223E+00, -1.228479297030953E-01,  3.791157687411046E-01, -2.263584907071930E-04, -5.587976804545754E-03,  1.064127989162278E-04,  5.483336469905149E-02,  9.494102789109929E+00,  3.027132589877692E-04,
2444605.500000000, A.D. 1981-Jan-01 00:00:00.0000, -9.492708397364124E+00, -6.365470230346620E-01,  3.883735422217759E-01,  7.552353233305694E-05, -5.576459970577242E-03,  9.456636776913579E-05,  5.499419890977676E-02,  9.521950369447403E+00,  3.013545636825627E-04,
2444695.500000000, A.D. 1981-Apr-01 00:00:00.0000, -9.472800002400700E+00, -1.137276854628229E+00,  3.963315394537162E-01,  3.664291173038570E-04, -5.548983501853419E-03,  8.257075969947705E-05,  5.515073186564264E-02,  9.549053210592216E+00,  3.007990523307127E-04,
2444786.500000000, A.D. 1981-Jul-01 00:00:00.0000, -9.426075440130861E+00, -1.640371589213429E+00,  4.032641378353716E-01,  6.589690209813630E-04, -5.505094868513923E-03,  6.963248030195558E-05,  5.530773958858658E-02,  9.576238255108365E+00,  2.972973019307428E-04,
2444878.500000000, A.D. 1981-Oct-01 00:00:00.0000, -9.352025363475420E+00, -2.144329269383000E+00,  4.091231195346433E-01,  9.505884046855310E-04, -5.447087930323294E-03,  5.719472960281452E-05,  5.546479815096434E-02,  9.603432102199607E+00,  2.930018005335758E-04,
2444970.500000000, A.D. 1982-Jan-01 00:00:00.0000, -9.251455272711629E+00, -2.642219270646408E+00,  4.138177047121455E-01,  1.235884182455630E-03, -5.374633054872534E-03,  4.498632286600956E-05,  5.561976858357839E-02,  9.630264400829931E+00,  2.892805238690131E-04,
2445060.500000000, A.D. 1982-Apr-01 00:00:00.0000, -9.127894955157300E+00, -3.122128292693017E+00,  4.172808879297830E-01,  1.508473360313119E-03, -5.288261576749309E-03,  3.227703001565397E-05,  5.576898480848207E-02,  9.656100389279917E+00,  2.853028851214352E-04,
2445151.500000000, A.D. 1982-Jul-01 00:00:00.0000, -8.978202743656659E+00, -3.598928118098848E+00,  4.196512505490556E-01,  1.779930624155985E-03, -5.187842481377028E-03,  1.945917895553975E-05,  5.591719386773187E-02,  9.681761992402720E+00,  2.786951627276508E-04,
