au    density
0.50000   31.284130
1.50000   55.402450
2.50000   41.890610
3.50000   24.905965
4.50000   20.386174
5.50000   18.986209
6.50000   17.570325
7.50000   16.306027
8.50000   16.489163
9.50000   17.943515
10.5000   20.151427
11.5000   23.135519
12.5000   25.947293
13.5000   26.693193
14.5000   25.829569
15.5000   24.563386
16.5000   23.623325
17.5000   22.996250
18.5000   22.144457
19.5000   21.201723
20.5000   20.741805
21.5000   20.254496
22.5000   19.905469
23.5000   19.664640
24.5000   19.938844
25.5000   20.482439
26.5000   20.964226
27.5000   21.573323
28.5000   22.031905
29.5000   22.140932
30.5000   22.444897
31.5000   22.980868
32.5000   23.199560
33.5000   23.177571
34.5000   23.142727
35.5000   23.041583
36.5000   22.892044
37.5000   22.907537
38.5000   22.744579
39.5000   22.709988
40.5000   22.603433
41.5000   22.116153
42.5000   21.397478
43.5000   20.491399
44.5000   19.310250
45.5000   18.107058
46.5000   16.987585
47.5000   15.951684
48.5000   15.000596
49.5000   14.086194
50.5000   13.297532
51.5000   12.573953
52.5000   11.823964
53.5000   11.230624
54.5000   10.732066
55.5000   10.191013
56.5000   9.6812537
57.5000   9.2170856
58.5000   8.7735569
59.5000   8.4034662
60.5000   8.0254850
61.5000   7.6712530
62.5000   7.3492290
63.5000   7.0067984
64.5000   6.6487561
65.5000   6.3903885
66.5000   6.1045708
67.5000   5.7700967
68.5000   5.5370746
69.5000   5.3128931
70.5000   5.0850436
71.5000   4.9518414
72.5000   4.7179662
73.5000   4.5349878
74.5000   4.5349878
