Wavelength	AKARI IRC NIR spectroscopy (This work)	DIRBE ZL model	CIBER LRS	IRTS NIRS	IRTS MIRS	AKARI IRC imaging	AKARI IRC MIRspec	I	J	IRC NIRspec err	DIRBE err X	DIRBE err Y	LRS err	NIRS err	MIRS err	IRC img err X	IRC img err Y	RC MIRspec err	U	V	W
1.8079	168.87									32.748											
2.2547	115.58									32.213											
2.4434	72.591									13.406											
2.5882	71.733									14.412											
2.7103	63.485									13.124											
2.8178	69.222									15.050											
2.9151	64.010									13.268											
3.0045	64.660									12.267											
3.0877	56.496									11.096											
3.1659	61.380									12.290											
3.2399	59.464									13.048											
3.3102	64.114									13.280											
3.3774	64.818									14.939											
3.4418	71.045									14.806											
3.5038	73.598									14.962											
3.5637	78.042									13.974											
3.6216	75.009									14.336											
3.6776	87.573									14.752											
3.7321	90.456									13.622											
3.7851	93.663									14.260											
3.8367	87.007									12.967											
3.8870	99.931									15.326											
3.9362	99.910									14.651											
3.9842	111.20									14.370											
4.0312	108.13									12.705											
4.0772	123.90									14.510											
4.1223	121.21									13.135											
4.1666	131.10									12.030											
4.2100	132.33									11.440											
4.2527	140.64									14.688											
4.2947	146.76									15.997											
4.3359	168.95									16.008											
4.3765	156.14									12.016											
4.4165	184.44									16.697											
4.4558	185.69									14.699											
4.4946	199.60									17.013											
4.5328	199.61									16.156											
4.5706	213.04									16.295											
4.6078	210.29									13.870											
4.6445	238.39									17.731											
4.6807	223.18									14.404											
4.7165	261.44									16.256											
4.7519	266.05									19.634											
4.7868	292.00									20.448											
4.8214	277.02									17.360											
4.8555	301.95									19.379											
4.8893	311.71									19.195											
4.9227	347.81									21.232											
4.9558	349.53									24.007											
4.9885	382.83									31.836											
5.0209	386.65									25.436											
5.0529	420.37									31.050											
5.0847	405.74									28.714											
5.1161	452.75									40.164											
5.1473	479.52									32.770											
5.1781	548.15									34.300											
5.2087	524.26									32.935											
5.2390	628.34									77.560											
5.2691	598.21									49.995											
5.2989	611.60									64.850											
																					
1.2500		322.86									0.075000	15.000									
2.2000		115.51									0.10000	6.0000									
3.5000		61.307									0.12500	2.1000									
4.9000		311.71									0.075000	5.9000									
12.000		3632.1									4.0500	138.00									
25.000		2038.0									4.4500	156.00									
60.000		226.80									13.650	26.700									
100.00		52.892									15.500	6.3000									
140.00		21.687									17.000	2.3000									
240.00		3.6023									50.500	0.50000									
																					
0.76000			459.18										17.121								
0.78000			448.33										12.775								
0.80000			435.71										12.982								
0.82000			418.86										11.133								
0.84000			426.42										5.6262								
0.86000			421.57										5.3768								
0.88000			403.14										5.4731								
0.90000			393.80										5.1624								
0.92000			392.36										4.8814								
0.94000			371.43										5.6557								
0.96000			374.29										6.3958								
0.98000			361.60										8.4412								
1.0000			371.18										10.480								
1.0200			379.71										12.286								
1.0400			370.33										14.145								
1.0600			372.87										16.138								
1.0800			359.96										17.268								
1.1000			366.72										17.295								
1.1300			341.01										17.369								
1.1700			343.29										15.487								
1.2100			327.73										13.602								
1.2500			322.86										11.511								
1.2900			312.39										10.423								
1.3300			285.23										15.887								
1.3700			274.84										30.814								
1.4100			273.67										46.935								
																					
1.4300				289.06										6.0767							
1.5300				281.87										6.7332							
1.6300				265.08										6.8940							
1.7300				224.88										8.6624							
1.8300				190.59										4.9908							
1.9300				167.34										4.8696							
2.0300				148.97										4.4147							
2.1400				130.61										3.4298							
2.2400				115.51										2.2837							
2.3400				99.277										1.4698							
2.4400				93.094										1.3131							
2.5400				83.670										1.0123							
2.8800				62.863										0.51145							
2.9800				59.888										0.59946							
3.0700				56.215										0.41988							
3.1700				53.756										0.39807							
3.2800				54.694										0.36880							
3.3800				54.173										0.34585							
3.4800				54.625										0.36101							
3.5800				56.044										0.35448							
3.6800				61.042										0.40491							
3.7800				68.390										0.48232							
3.8800				74.908										0.53779							
3.9800				80.267										0.53146							
																					
7.0000						1495.1										0.87500	4.9836				
9.0000						2849.0										2.0500	4.9858				
11.000						3670.1										2.0600	9.7868				
15.000						3884.8										2.9900	5.5035				
18.000						3408.3										4.9850	4.5443				
24.000						2341.9										2.6700	3.1225				
																					
4.6150					271.00										39.700						
4.8400					374.00										43.000						
5.0650					362.00										54.700						
5.2900					399.00										29.100						
5.5150					594.00										65.000						
5.7400					652.00										40.900						
5.9650					719.00										26.300						
6.1900					884.00										21.900						
6.4150					929.00										30.000						
6.6400					1060.0										34.500						
6.8650					1280.0										24.000						
7.0900					1590.0										18.700						
7.3150					1700.0										26.200						
7.5400					1960.0										22.400						
7.7650					1970.0										29.500						
7.9900					2260.0										23.500						
8.2150					2530.0										29.100						
8.4400					2660.0										29.200						
8.6650					2990.0										48.500						
8.8900					3180.0										42.700						
9.1150					3610.0										66.900						
9.3400					3950.0										41.300						
9.5650					4060.0										53.000						
9.7900					4080.0										43.300						
10.015					4650.0										64.600						
10.240					4780.0										69.000						
10.465					4910.0										86.400						
10.690					4550.0										86.700						
10.915					5430.0										71.100						
11.140					5160.0										70.700						
11.365					5140.0										105.00						
11.590					5250.0										81.700						
																					
5.5455							471.75												149.59		
5.6025							644.11												122.53		
5.6595							536.89												145.68		
5.7165							768.37												183.07		
5.7735							633.95												206.61		
5.8305							656.84												197.37		
5.8875							648.95												179.00		
5.9445							864.74												176.93		
6.0015							941.58												169.92		
6.0585							1003.3												166.77		
6.1155							1087.9												159.11		
6.1725							1129.6												184.00		
6.2295							1137.0												200.12		
6.2865							1148.7												173.61		
6.3435							1170.2												132.58		
6.4005							1152.4												105.24		
6.4575							1056.9												91.062		
6.5145							1121.4												78.158		
6.5715							1260.3												111.11		
6.6285							1368.5												132.32		
6.6855							1345.9												158.70		
6.7425							1370.8												141.28		
6.7995							1367.0												110.62		
6.8565							1439.7												101.57		
6.9135							1364.1												99.774		
6.9705							1394.7												143.71		
7.0275							1427.4												138.69		
7.0845							1623.2												133.70		
7.1415							1703.7												120.03		
7.1985							1668.4												134.97		
7.2555							1646.2												129.53		
7.3125							1709.3												109.80		
7.3695							1881.9												88.203		
7.4265							2021.7												106.02		
7.4835							2102.8												100.62		
7.5405							2094.3												123.73		
7.5975							2054.8												120.42		
7.6545							2145.0												126.88		
7.7115							2184.6												99.016		
7.7685							2210.0												109.80		
7.8255							2099.6												99.778		
7.8825							2147.0												109.40		
7.9395							2257.5												97.393		
7.9965							2355.5												123.17		
8.0535							2285.3												131.78		
8.1105							2163.2												158.55		
8.1675							2097.0												164.99		
																			94.398		
7.9715																			86.855		
8.0706							2427.1												82.016		
8.1698							2504.1												91.674		
8.2689							2535.7												91.519		
8.3680							2565.5												97.027		
8.4671							2628.2												89.463		
8.5662							2814.2												99.914		
8.6654							2931.6												101.79		
8.7645							3067.7												115.74		
8.8636							3167.0												115.44		
8.9627							3337.7												119.55		
9.0618							3418.8												105.68		
9.1610							3497.6												98.124		
9.2601							3544.0												89.858		
9.3592							3671.3												91.302		
9.4583							3751.1												92.632		
9.5574							3831.1												94.486		
9.6566							3938.3												98.060		
9.7557							3972.4												106.43		
9.8548							4019.4												110.64		
9.9539							3975.4												110.46		
10.053							3967.4												110.96		
10.152							4102.8												111.79		
10.251							4186.1												113.16		
10.350							4315.5												114.01		
10.450							4311.0												121.33		
10.549							4373.0												122.84		
10.648							4347.9												122.43		
10.747							4372.5												119.13		
10.846							4377.0												117.88		
10.945							4393.7												137.36		
11.044							4354.0												152.38		
11.143							4342.1												164.20		
11.242							4457.2												146.79		
11.342							4474.1												139.89		
11.441							4517.2												139.72		
11.540							4424.5												135.63		
11.639							4308.3												125.35		
11.738							4142.5												119.30		
11.837							4071.7												124.84		
11.936							4141.1												135.83		
12.035							4130.7												133.27		
12.135							4126.6														
12.234							3959.3														
12.333							3783.9														
